tf,motif,percentile,fold,metric,value
ETS1,shape_and_seq_no_lasso,,2,aupr,0.4672919930967858
ETS1,shape_and_seq_no_lasso,,3,aupr,0.47480675867658484
ETS1,shape_and_seq_no_lasso,,4,aupr,0.49265850784120574
FOSL1,seq,,main,aupr,0.8578581673251303
FOSL1,seq,,0,aupr,0.8437850825581288
FOSL1,seq,,1,aupr,0.8413246056147574
FOSL1,seq,,2,aupr,0.8325859334558431
FOSL1,seq,,3,aupr,0.85844826121068
FOSL1,seq,,4,aupr,0.8571505259046677
FOSL1,shape,,main,aupr,0.843360294117647
FOSL1,shape,,0,aupr,0.8403917824281265
FOSL1,shape,,1,aupr,0.8277629492600422
FOSL1,shape,,2,aupr,0.8462009803921569
FOSL1,shape,,3,aupr,0.8265992063492063
FOSL1,shape,,4,aupr,0.8098243801652892
FOSL1,shape_and_seq,,main,aupr,0.8495520489192699
FOSL1,shape_and_seq,,0,aupr,0.8997661780837638
FOSL1,shape_and_seq,,1,aupr,0.8609563919373014
FOSL1,shape_and_seq,,2,aupr,0.8635258770141929
FOSL1,shape_and_seq,,3,aupr,0.8895400480820311
FOSL1,shape_and_seq,,4,aupr,0.8727807900638992
FOSL1,jaspar,,main,aupr,0.6531168437094231
FOSL1,jaspar,,0,aupr,0.6564759667423052
FOSL1,jaspar,,1,aupr,0.6409179408675758
FOSL1,jaspar,,2,aupr,0.645651157923752
FOSL1,jaspar,,3,aupr,0.6664260217660792
FOSL1,jaspar,,4,aupr,0.6441804953899354
FOSL1,shape_and_jaspar,,main,aupr,0.8112867186442243
FOSL1,shape_and_jaspar,,0,aupr,0.8075895159106659
FOSL1,shape_and_jaspar,,1,aupr,0.8150045531764771
FOSL1,shape_and_jaspar,,2,aupr,0.7872656246913949
FOSL1,shape_and_jaspar,,3,aupr,0.7942982129324798
FOSL1,shape_and_jaspar,,4,aupr,0.8110389466567558
FOSL1,shape_and_seq_no_lasso,,main,aupr,0.8785302601497489
FOSL1,shape_and_seq_no_lasso,,0,aupr,0.8961102187966503
FOSL1,shape_and_seq_no_lasso,,1,aupr,0.8679031670463376
FOSL1,shape_and_seq_no_lasso,,2,aupr,0.8596381264839941
FOSL1,shape_and_seq_no_lasso,,3,aupr,0.8698287928668861
FOSL1,shape_and_seq_no_lasso,,4,aupr,0.9003620938328094
GATA2,seq,,main,aupr,0.650086244346548
GATA2,seq,,0,aupr,0.6245602593918171
GATA2,seq,,1,aupr,0.6991645460696514
GATA2,seq,,2,aupr,0.597415625613044
GATA2,seq,,3,aupr,0.6019441101613374
GATA2,seq,,4,aupr,0.65586689877888
GATA2,shape,,main,aupr,0.636695796460177
GATA2,shape,,0,aupr,0.629850081037277
GATA2,shape,,1,aupr,0.49325864502470007
GATA2,shape,,2,aupr,0.4756617647058824
GATA2,shape,,3,aupr,0.4444128787878788
GATA2,shape,,4,aupr,0.4312316176470588
GATA2,shape_and_seq,,main,aupr,0.6977520923910191
GATA2,shape_and_seq,,0,aupr,0.674355291797311
GATA2,shape_and_seq,,1,aupr,0.7011932222996812
GATA2,shape_and_seq,,2,aupr,0.6382033522694931
GATA2,shape_and_seq,,3,aupr,0.6085085328591536
GATA2,shape_and_seq,,4,aupr,0.6448557280056123
GATA2,jaspar,,main,aupr,0.5825361818570957
GATA2,jaspar,,0,aupr,0.5654217961083802
GATA2,jaspar,,1,aupr,0.6165193615159105
GATA2,jaspar,,2,aupr,0.6372234823853016
GATA2,jaspar,,3,aupr,0.5618867649539141
GATA2,jaspar,,4,aupr,0.5655473178332044
GATA2,shape_and_jaspar,,main,aupr,0.6777296200806879
GATA2,shape_and_jaspar,,0,aupr,0.6925326061087399
GATA2,shape_and_jaspar,,1,aupr,0.6035183038011857
GATA2,shape_and_jaspar,,2,aupr,0.652667246861095
